datetime_beginning_ept,pv3,pv4,pv5,pv6,pv8,pv9,pv10,pv11
1/1/2019 12:00:00 AM,-0.000420920835801289,-0.000420920835801289,-0.0005612277810683853,-0.0005301980952633428,-0.0005301980952633428,-0.0006627476190791785,-0.0006378606448976186,-0.00038271638693857115
1/1/2019 1:00:00 AM,-0.00042487933895929485,-0.00042487933895929485,-0.0005665057852790598,-0.0005349698781207129,-0.0005349698781207129,-0.0006687123476508911,-0.000653330474412902,-0.0003919982846477412
1/1/2019 2:00:00 AM,-0.0004323565115910837,-0.0004323565115910837,-0.0005764753487881116,-0.0005439832457401898,-0.0005439832457401898,-0.0006799790571752371,-0.0006331837196953236,-0.00037991023181719414
1/1/2019 3:00:00 AM,-0.00042048100211706607,-0.00042048100211706607,-0.0005606413361560882,-0.0005291376990728162,-0.0005291376990728162,-0.0006614221238410202,-0.0006479340222564077,-0.0003887604133538446
1/1/2019 4:00:00 AM,-0.0004196013347486204,-0.0004196013347486204,-0.0005594684463314938,-0.0005280773028822895,-0.0005280773028822895,-0.0006600966286028618,-0.0006464949683480093,-0.00038789698100880554
1/1/2019 5:00:00 AM,-0.0004257590063277405,-0.0004257590063277405,-0.0005676786751036541,-0.0005355000762159763,-0.0005355000762159763,-0.0006693750952699703,-0.0006508121300732047,-0.0003904872780439228
1/1/2019 6:00:00 AM,-0.0004235598379066262,-0.0004235598379066262,-0.0005647464505421682,-0.0005323188876443962,-0.0005323188876443962,-0.0006653986095554953,-0.0006241896327678332,-0.0003745137796606999
1/1/2019 7:00:00 AM,0.0003571449515889725,0.0003571449515889725,0.00047619326878529667,0.000426809466686991,0.000426809466686991,0.0005335118333587388,0.0025294970074873973,0.0015176982044924384
1/1/2019 8:00:00 AM,0.012044405608759141,0.012044405608759141,0.016059207478345522,0.015309470000729023,0.015309470000729023,0.019136837500911278,0.03033921378728769,0.018203528272372614
1/1/2019 9:00:00 AM,0.025374005242817514,0.025374005242817514,0.03383200699042335,0.03439448063782831,0.03439448063782831,0.04299310079728538,0.07043305449265436,0.042259832695592615
1/1/2019 10:00:00 AM,0.04613063646866331,0.04613063646866331,0.06150751529155109,0.06187941969818474,0.06187941969818474,0.07734927462273092,0.114773903045182,0.0688643418271092
1/1/2019 11:00:00 AM,0.05845169746479864,0.05845169746479864,0.07793559661973154,0.07497213146261772,0.07497213146261772,0.09371516432827215,0.1492029080401381,0.08952174482408286
1/1/2019 12:00:00 PM,0.09104161413097661,0.09104161413097661,0.12138881884130215,0.11850351587611924,0.11850351587611924,0.14812939484514903,0.163543799764283,0.0981262798585698
1/1/2019 1:00:00 PM,0.1096773673314997,0.1096773673314997,0.14623648977533296,0.14011810162571992,0.14011810162571992,0.1751476270321499,0.15429787840282286,0.09257872704169372
1/1/2019 2:00:00 PM,0.05862323260164556,0.05862323260164556,0.07816431013552742,0.07571865038074853,0.07571865038074853,0.09464831297593565,0.09225882535785673,0.05535529521471404
1/1/2019 3:00:00 PM,0.028445363859745835,0.028445363859745835,0.03792715181299445,0.0370645582455745,0.0370645582455745,0.04633069780696813,0.04796834369212305,0.028781006215273828
1/1/2019 4:00:00 PM,0.004467390730651716,0.004467390730651716,0.005956520974202288,0.006032063729811052,0.006032063729811052,0.007540079662263814,0.01016403775501834,0.006098422653011004
1/1/2019 5:00:00 PM,0.0007178085726517279,0.0007178085726517279,0.0009570780968689706,0.0008430149714687152,0.0008430149714687152,0.0010537687143358939,0.00027773740432090327,0.00016664244259254196
1/1/2019 6:00:00 PM,0.0006663480315976518,0.0006663480315976518,0.0008884640421302024,0.000780981794322904,0.000780981794322904,0.00097622724290363,0.00021909595755366593,0.00013145757453219956
1/1/2019 7:00:00 PM,0.0006641488631765376,0.0006641488631765376,0.0008855318175687168,0.0007788610019418507,0.0007788610019418507,0.0009735762524273133,0.00022916933491245518,0.0001375016009474731
1/1/2019 8:00:00 PM,0.0006654683642292059,0.0006654683642292059,0.000887291152305608,0.0007799213981323774,0.0007799213981323774,0.0009749017476654717,0.00021082139758037477,0.00012649283854822486
1/1/2019 9:00:00 PM,0.0006588708589658629,0.0006588708589658629,0.0008784944786211507,0.0007724986247986906,0.0007724986247986906,0.0009656232809983631,0.00024607821833613715,0.00014764693100168227
1/1/2019 10:00:00 PM,0.0006579911915974172,0.0006579911915974172,0.0008773215887965563,0.0007709080305129004,0.0007709080305129004,0.0009636350381411255,0.00024607821833613715,0.00014764693100168227
1/1/2019 11:00:00 PM,0.0006575513579131943,0.0006575513579131943,0.0008767351438842592,0.0007703778324176371,0.0007703778324176371,0.0009629722905220464,0.00022089477493916402,0.00013253686496349842
1/2/2019 12:00:00 AM,0.0006637090294923146,0.0006637090294923146,0.0008849453726564194,0.000777800605751324,0.000777800605751324,0.0009722507571891549,0.0002644261556682175,0.0001586556934009305
1/2/2019 1:00:00 AM,0.0006513936863340742,0.0006513936863340742,0.000868524915112099,0.0007634852571792136,0.0007634852571792136,0.000954356571474017,0.0002295290983895548,0.00013771745903373288
1/2/2019 2:00:00 AM,0.0006597505263343088,0.0006597505263343088,0.000879667368445745,0.0007730288228939538,0.0007730288228939538,0.0009662860286174422,0.000248956326152934,0.0001493737956917604
1/2/2019 3:00:00 AM,0.0006518335200182971,0.0006518335200182971,0.0008691113600243961,0.0007629550590839504,0.0007629550590839504,0.0009536938238549379,0.0002529137244010298,0.00015174823464061786
1/2/2019 4:00:00 AM,0.0006447961810707311,0.0006447961810707311,0.0008597282414276415,0.0007555322857502636,0.0007555322857502636,0.0009444153571878294,0.00018060126550400706,0.00010836075930240424
