datetime_beginning_ept,load_r1,load_r3,load_r4,load_r5,load_r6,load_r8,load_r10,load_r11
1/1/2019 12:00:00 AM,0.28600956555660967,0.12659426388902142,0.10029977072360165,0.23128846596577396,0.19608830004071254,0.29067194616956427,0.22411770156695596,0.14743377458749468
1/1/2019 1:00:00 AM,0.2778046116570218,0.12085233922401861,0.09549622723508602,0.21606476862865476,0.1831755025261272,0.2794135870682652,0.21494513850690933,0.14245597540039814
1/1/2019 2:00:00 AM,0.26430572771556937,0.1158347162306613,0.09137925939565475,0.2109070677614918,0.17394181504080006,0.2687459924869385,0.20720060329963896,0.13810788271106056
1/1/2019 3:00:00 AM,0.2558440726557577,0.11185071702878494,0.08879636944387109,0.20572941447317933,0.16792420066507097,0.2619157335615782,0.20127466269655764,0.13553170822609492
1/1/2019 4:00:00 AM,0.2517460103119039,0.11093605347547647,0.08765132885769172,0.2011204051876295,0.1666193208364798,0.2603136190814884,0.20046637904891082,0.13277597535620458
1/1/2019 5:00:00 AM,0.25204685753152933,0.11255466073184,0.08888228993267729,0.21082725807689354,0.16913841331277782,0.264084503858665,0.20253089466507898,0.13670284460977744
1/1/2019 6:00:00 AM,0.25785713296446844,0.11609252716483577,0.09105492016162203,0.21109661576241273,0.1735223394107211,0.2723675653809808,0.2048399941340595,0.13839606515381106
1/1/2019 7:00:00 AM,0.25868511683413314,0.11676106755299348,0.09279534062048174,0.2206737779142046,0.1750451189662112,0.27693910220991697,0.20685741849261466,0.14273846055827133
1/1/2019 8:00:00 AM,0.2613381315002427,0.1195354039114023,0.09559506308318348,0.23103906070140434,0.17846836471855002,0.28677727637122746,0.21224175149579108,0.14311385528491305
1/1/2019 9:00:00 AM,0.2711208982636268,0.12430588371613044,0.10008972938752216,0.23679533420305426,0.1861669598213534,0.2994045640944243,0.22150797383486806,0.14946326015434228
1/1/2019 10:00:00 AM,0.2733465136731599,0.12939847843515273,0.10351921204552463,0.241823344332745,0.1919764687644149,0.31443401056704257,0.23119150610869357,0.15180233993787495
1/1/2019 11:00:00 AM,0.2792931513784727,0.13277148357344645,0.1051962684177206,0.2467116875143888,0.1923979965323328,0.319233465806462,0.23673583311304414,0.15604888321983879
1/1/2019 12:00:00 PM,0.2800949746203439,0.13372962562752322,0.10508991376890899,0.24691121172588443,0.18768899314490206,0.31597980387547525,0.23715680570116257,0.15709098549217895
1/1/2019 1:00:00 PM,0.2671314025251161,0.13260742979733148,0.10376023811680524,0.2420029161230911,0.18632628034084966,0.30897490879914913,0.23485782213196563,0.15861942302745324
1/1/2019 2:00:00 PM,0.27369575805420326,0.13160644675716043,0.10339976013095287,0.24679149719898702,0.19602011309706394,0.3072700790887349,0.23449987043675152,0.1597648277178986
1/1/2019 3:00:00 PM,0.28685553485788234,0.1341805185059698,0.10573889541442254,0.2518394597498273,0.20509242792505586,0.3121076220269728,0.23696291762197808,0.1618659362946325
1/1/2019 4:00:00 PM,0.3197557943866987,0.14236267933921565,0.11315212974113843,0.27221088174353464,0.22613943343825701,0.3293425083364978,0.2499818480939727,0.16524217235594146
1/1/2019 5:00:00 PM,0.3544362846368635,0.156426678057923,0.12440686487789497,0.29812907681682144,0.2515384636339052,0.3547008119839291,0.27150580851501055,0.17688260186566743
1/1/2019 6:00:00 PM,0.36156276665566384,0.15782360021163996,0.12515910876224898,0.30278796715524514,0.2520926341294131,0.35468804855294206,0.27110239340812564,0.17888328797049788
1/1/2019 7:00:00 PM,0.3526328363583483,0.15704825486509444,0.12435926601853514,0.2979894098687745,0.24851669066605822,0.35373524830005093,0.2683124980126516,0.17689631291388871
1/1/2019 8:00:00 PM,0.34493932273212363,0.15434094254941447,0.12208604151229366,0.29303123321310726,0.24207857459133067,0.3474919046059527,0.2631154254301808,0.17208511235380913
1/1/2019 9:00:00 PM,0.32924785117372735,0.1489714539569753,0.11687684659815102,0.2769495817665567,0.229489921576306,0.3325064210622898,0.2531446364849158,0.16815523793898232
1/1/2019 10:00:00 PM,0.3086960619791438,0.13957759023330502,0.1104685242410788,0.2667439183485535,0.21169210321510398,0.3159907439591784,0.2389856324798453,0.16128193329094437
1/1/2019 11:00:00 PM,0.2858823595039637,0.13073062909798905,0.10452285066988604,0.24703092625278186,0.1945538606111375,0.2992742960606992,0.22456797538203357,0.15136314814211246
1/2/2019 12:00:00 AM,0.2728841245769096,0.12491407271514739,0.10107608689733892,0.24689125930473488,0.18265267377215955,0.2923332181393084,0.2162073004856486,0.14309826601090808
1/2/2019 1:00:00 AM,0.2632511274076434,0.12132070000453343,0.09966861591203943,0.24186324917504415,0.17751328111250636,0.2872120434013581,0.21046117872182296,0.14062977647087638
1/2/2019 2:00:00 AM,0.2600068825534004,0.12071595358475619,0.10029334336170084,0.2470608548845062,0.17621166604865895,0.28588039210170824,0.20932511666624742,0.13775139545730838
1/2/2019 3:00:00 AM,0.2605356542426768,0.1217037613216641,0.10249222875765554,0.2516898165912056,0.17764890876786207,0.2893086901836608,0.2121376274928467,0.1410325932939606
1/2/2019 4:00:00 AM,0.271184337786026,0.12727470455109421,0.1074434802989107,0.26691351392832474,0.18400176784328073,0.30265073004213283,0.21993623044033941,0.1470867410701873
1/2/2019 5:00:00 AM,0.29245227416645697,0.13948821067600714,0.1174343292898124,0.2937594965850664,0.2017305597499,0.332282351940517,0.2396658395342557,0.16362145132715988
1/2/2019 6:00:00 AM,0.32998198379118276,0.15689414631789417,0.1319174191654676,0.32227150640779684,0.22870311327305584,0.3761399319417627,0.266500182242811,0.18176987056998814
